Name,Storage Image,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Gender,Villager Gender,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
apple umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaApple0.png,Yes,NFS,1400,103,Yellow,Red,1x1,NA,NA,Crafting,,NA,NA,Free,Free,Yes,Not for sale,1.0.0,Yes,UmbrellaApple0,9948,FPxdw28z9s2gYgjmr
bat umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBat0.png,No,840,210,3,Black,Black,1x1,NA,NA,Nook's Cranny,,NA,NA,Free,Free,Yes,For sale,1.0.0,Yes,UmbrellaBat0,6919,EZnRx49foq3M36yQ4
beach umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBeach0.png,No,770,192,3,Blue,White,1x1,NA,NA,Nook's Cranny,,NA,NA,Free,Free,Yes,For sale,1.0.0,Yes,UmbrellaBeach0,9957,3SSFuv6LiH63jych3
bear umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBear0.png,No,1570,392,3,Brown,Beige,1x1,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Free,Free,Yes,For sale,1.0.0,Yes,UmbrellaBear0,7167,s7KoPpysn27AeC5zi
black chic umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace5.png,No,1620,405,3,Black,Black,1x1,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Free,Free,Yes,For sale,1.0.0,Yes,UmbrellaPacodarace5,12137,p8yg9xiFwPscNDJNg
black lace umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaRace0.png,No,750,187,3,Black,White,1x1,NA,NA,Nook's Cranny,,NA,NA,Free,Free,Yes,For sale,1.0.0,Yes,UmbrellaRace0,6915,7vuSb5AutpNQA573q
blue dot parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPolkadot2.png,No,750,187,3,Blue,White,1x1,NA,NA,Nook's Cranny,,NA,NA,Free,Free,Yes,For sale,1.0.0,Yes,UmbrellaPolkadot2,9956,SwKuBi2vT7K365A3p
blue shiny-bows parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace2.png,No,1620,405,3,Blue,White,1x1,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Free,Free,Yes,For sale,1.0.0,Yes,UmbrellaPacodarace2,12134,BxZ4XdtfJEyWyBPFe
blue umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaStandard2.png,No,770,192,3,Blue,Blue,1x1,NA,NA,Nook's Cranny,,NA,NA,Free,Free,Yes,For sale,1.0.0,Yes,UmbrellaStandard2,9959,XyJaqSLnBjh5J6vLp
busted umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBroken0.png,No,1570,392,3,Black,Black,1x1,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Free,Free,Yes,For sale,1.0.0,Yes,UmbrellaBroken0,7182,gkHD9GKJT9eAekxWQ
camo umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaOutdoor0.png,No,650,162,3,Green,Beige,1x1,NA,NA,Nook's Cranny,,NA,NA,Free,Free,Yes,For sale,1.0.0,Yes,UmbrellaOutdoor0,6923,RJYB5itM7mDdtWHpv
candy umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham0.png,No,770,192,3,Pink,White,1x1,NA,NA,Nook's Cranny,,NA,NA,Free,Free,Yes,For sale,1.0.0,Yes,UmbrellaGingham0,6926,F6KFg5Yhzgf78pudR
cherry umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaCherry0.png,Yes,NFS,1400,103,Red,Red,1x1,NA,NA,Crafting,,NA,NA,Free,Free,Yes,Not for sale,1.0.0,Yes,UmbrellaCherry0,9949,YwHY3LQXsDeM2iosy
